,rac,ec,V2,V258
1296,0,0.375773438,32,0.486510638
1297,0.681792831,0.223623437,32,0.469330189
1299,0,0.418220617,32,0.469330189
1300,0,0.304424952,32,0.469330189
1302,0.414213562,0.503655515,32,0.37659375
1303,0,0.2174311,32,0.469330189
1304,0,0.201297871,32,0.37659375
1305,0,0.436289793,32,0.315866667
1306,0,0.357254416,32,0.486510638
1307,0.414213562,0.486261983,32,0.37659375
1308,0,0.39065171,32,0.469330189
1309,0,0.53284474,32,0.469330189
1310,0,0.450543885,32,0.469330189
1311,0.414213562,0.476385212,32,0.315866667
1312,0,0.208238268,32,0.315866667
1313,0,0.183376001,32,0.469330189
1315,0.414213562,0.25992105,32,0.486510638
1316,0.414213562,0.479586854,32,0.486510638
1317,0.414213562,0.367459719,32,0.486510638
1318,0.414213562,0.484036857,32,0.469330189
1319,0.414213562,0.338394926,32,0.469330189
1320,0.681792831,0.343211569,32,0.469330189
1321,0.414213562,0.430920266,32,0.315866667
1322,0.224744871,0.355378449,32,0.37659375
1323,0.414213562,0.331785639,32,0.37659375
1324,1,0.523789238,32,0.486510638
1325,0.224744871,0.424217634,32,0.469330189
1327,0.224744871,0.162583521,32,0.37659375
1329,0.681792831,0.129286259,32,0.486510638
1330,0.681792831,0.479106686,32,0.469330189
1331,0,0.493459868,32,0.486510638
1334,0,0.493459868,32,0.486510638
1336,0.414213562,0.542302863,32,0.486510638
1337,0.224744871,0.591963603,32,0.469330189
1338,0.681792831,0.637238158,32,0.469330189
1339,0.414213562,0.527069775,32,0.469330189
1340,0.414213562,0.546048078,32,0.469330189
1342,0.224744871,0.420834875,32,0.469330189
1343,0.224744871,0.49897084,32,0.469330189
1344,0,0.344293871,32,0.469330189
1345,0,0.324939736,32,0.469330189
1347,0,0.414213562,32,0.486510638
1350,0,0.414213562,32,0.486510638
1351,0,0.452003333,32,0.37659375
1352,0.414213562,0.449191645,32,0.315866667
1354,0,0.267963627,32,0.469330189
1355,0,0.25992105,32,0.469330189
1356,0,0.264959258,32,0.469330189
1357,0.414213562,0.480570428,32,0.469330189
1358,0.224744871,0.371572489,32,0.315866667
1359,0,0.374932243,32,0.469330189
1361,0.414213562,0.375773438,32,0.469330189
1362,0,0.423893764,32,0.469330189
1363,0,0.381821134,32,0.469330189
1364,0,0.197629686,32,0.469330189
1365,0,0.215124132,32,0.37659375
1367,0.414213562,0.676295162,32,0.486510638
1368,0.414213562,0.544316316,32,0.315866667
1371,0,0.300077341,32,0.469330189
1372,0,0.451822518,32,0.469330189
1374,0.224744871,0.343878645,32,0.469330189
1375,0.414213562,0.420923249,32,0.469330189
1376,0.414213562,0.299184123,32,0.469330189
1377,0,0.460950113,32,0.486510638
1378,0,0.233147474,32,0.486510638
1382,0,0.301876766,32,0.315866667
1385,0,0.19201982,32,0.315866667
1386,0.414213562,0.450137285,32,1.14080303
1389,0.681792831,0.460037174,32,1.14080303
1390,0.681792831,0.397196375,32,0.5356
1391,0,0.236650264,32,0.515
1392,0,0.45266148,32,1.116469136
1393,0,0.358187559,32,0.515
1394,0,0.346547525,32,1.14080303
1395,0,0.362347512,32,0.515
1397,0.414213562,0.487876613,32,1.116469136
1398,0,0.50508417,32,0.515
1399,0,0.559999346,32,1.116469136
1400,0.414213562,0.421273878,32,1.14080303
1401,0.414213562,0.474055462,32,0.515
1402,0.414213562,0.384817708,32,0.515
1404,0.414213562,0.5041465,32,0.515
1405,0,0.429259296,32,0.515
1406,0.414213562,0.325941582,32,0.515
1407,0.414213562,0.364858776,32,1.116469136
1408,0.414213562,0.388092988,32,1.116469136
1409,0.414213562,0.512591367,32,1.116469136
1410,0.414213562,0.473213557,32,0.515
1411,0.414213562,0.414560622,32,0.515
1412,0.414213562,0.608780874,32,0.515
1413,0.414213562,0.541792491,32,0.515
1414,0.414213562,0.414560622,32,0.515
1415,0.414213562,0.451374079,32,0.515
1416,0,0.658144004,32,0.515
1417,0.224744871,0.599839039,32,0.515
1418,0.414213562,0.50473313,32,0.515
1419,0.414213562,0.673958849,32,0.515
1420,0.414213562,0.482026969,32,0.515
1421,0.414213562,0.404380457,32,0.515
1422,0.224744871,0.45068606,32,0.515
1423,0.224744871,0.484434978,32,0.515
1424,0.414213562,0.547578066,32,1.14080303
1425,0.224744871,0.513457073,32,0.515
1426,0,0.439108884,32,1.14080303
1427,0,0.291925449,32,1.14080303
1428,0,0.747160929,32,0.515
1429,0,0.711209095,32,0.515
1431,0.414213562,0.351510322,32,1.116469136
1432,0,0.454239608,32,0.5356
1433,0,0.622753782,32,1.116469136
1434,0,0.431321478,32,0.515
1435,0,0.687731946,32,0.515
1437,0,0.626179,32,0.515
1440,0.224744871,0.441589804,32,0.515
1442,0.414213562,0.502883419,32,0.5356
1445,0,0.480570428,32,0.515
1446,0.414213562,0.389992477,32,0.515
1448,0.414213562,0.641849884,32,0.515
1449,0.224744871,0.393533926,32,1.14080303
1450,0,0.483333354,32,1.116469136
1451,0.414213562,0.51202047,32,1.14080303
1452,0.224744871,0.364631432,32,1.116469136
1453,0.456475315,0.3831886,32,0.515
1455,0.189207115,0.285213618,32,1.116469136
1456,0.224744871,0.43462259,32,0.515
1457,0,0.418220617,32,1.116469136
1458,0,0.465677361,32,0.515
1459,0,0.364858776,32,0.515
1460,0,0.366444905,32,0.515
1461,0,0.464863897,32,0.515
1462,0,0.433885941,32,1.14080303
1464,0,0.40988333,32,1.14080303
1465,0,0.239213302,32,1.14080303
1466,0.224744871,0.411288575,32,1.14080303
1471,0.414213562,0.442683008,32,1.116469136
1472,0.414213562,0.506833258,32,1.14080303
1473,0.414213562,0.484036857,32,1.14080303
1474,0.414213562,0.494612536,32,1.116469136
1475,0,0.312377757,32,1.116469136
1477,0.224744871,0.578257952,32,0.515
1481,0,0.318162032,32,1.116469136
1482,0,0.243008852,32,1.14080303
1483,0,0.360222149,32,0.515
1484,0.224744871,0.370943759,32,1.116469136
1485,0.414213562,0.474055462,32,0.515
1486,0,0.483672751,32,1.116469136
1487,0,0.331656258,32,1.116469136
1489,0.414213562,0.524365885,32,0.515
1491,0.414213562,0.577976798,32,0.515
1492,0,0.546048078,32,0.515
1493,0.414213562,0.322571908,32,0.515
1494,0.224744871,0.439619805,32,1.116469136
1495,0,0.39984274,32,0.515
1497,0.414213562,0.158675548,32,0.515
1498,0.414213562,0.26349093,32,1.116469136
1499,0.224744871,0.240907382,32,0.515
1500,0.414213562,0.549482786,32,1.14080303
1501,0,0.514807632,32,1.14080303
1502,0,0.628049971,32,0.515
1503,0.414213562,0.400235238,32,1.116469136
1504,0,0.272424815,32,1.116469136
1505,0.414213562,0.281947448,32,0.515
1507,0.414213562,0.142346655,32,1.14080303
1508,0.414213562,0.313280046,32,0.515
1509,0.414213562,0.425620666,32,1.14080303
1510,0.414213562,0.400805163,32,1.14080303
1511,0,0.542577661,32,0.5356
1512,0,0.492693008,32,0.515
1513,0,0.587401052,32,1.14080303
1514,0.414213562,0.559935863,32,0.515
1515,0.414213562,0.690039179,32,0.515
1516,0.414213562,0.418220617,32,0.5356
1517,0.414213562,0.122462048,32,1.14080303
