country,module,year,legelec,exeelec,executive,bicamera,assemblysize,formula,mixed_type,mdmh,list_type,federal,compulse,enforce,turnout1,turnout2,party_age,enep,enep_c,enpp,enpp_c,disprop,competi,freedom_t,freedom_t1,freedom_t2,polity_t,polity_t1,polity_t2,grouth_t,grouth_t1,grouth_t2,gdp_ppp_t,gdp_ppp_t1,gdp_ppp_t2,inflation_t,inflation_t1,inflation_t2,poptot_t,poptot_t1,poptot_t2,unemploy_t,unemploy_t1,unemploy_t2,
"Korea, South (Rep.)",m1,2000,1,0,0,0,299,mixed,1,8.60,1,0,0,NA,,,3.75,3.319,3.400,2.386,2.388,10.39,79.59,2,2,2,8,8,8,4.64,3.10,6.97,18852.79,18108.08,17661.66,3.59,3.55,2.69,48142220,47911730,47640000,,,3.10,
"Korea, South (Rep.)",m2,2004,1,0,0,0,299,mixed,1,8.60,1,0,0,NA,57.2,55.7,9.00,3.360,3.360,2.356,2.356,12.07,74.41,1.5,2,2,,8,8,8.49,9.49,-6.85,16203.62,15172.27,14022.12,2.25,0.82,7.54,47008000,46617000,46287000,4.10,6.30,7.00,
Lithuania,m1,1997,1,1,1,0,141,mixed,0.5,1.96,1,0,0,NA,73.7,70.7,6.75,7.108,7.174,3.325,3.333,14.96,7.54,1.5,1.5,1.5,10,10,10,7.01,4.68,3.29,7855.80,7224.96,6787.26,8.88,24.62,39.66,3580000,3605000,3632000,14.10,16.40,17.10,
Mexico,m1,1997,1,1,0,1,500,mixed,1,16.60,1,1,1,2,57.7,54.4,54.50,3.364,3.407,2.853,2.857,7.51,34.47,3.5,3.5,4,6,4,4,6.78,5.14,-6.22,8186.75,7860.87,7629.19,20.63,34.38,35.00,93926300,92570750,91145000,3.40,4.30,5.80,
Mexico,m1,2000,1,0,0,1,500,mixed,1,16.60,1,1,1,2,64,60,33.00,2.998,3.002,2.551,2.551,6.52,91.97,2.5,3.5,3.5,8,6,6,6.60,3.87,4.91,9058.91,8631.36,8465.84,9.50,16.59,15.93,97966000,96584490,95251060,2.20,2.10,2.90,
Mexico,m2,2003,1,0,0,1,500,mixed,1,16.60,1,1,1,2,,,51.33,3.407,3.493,2.989,3.001,6.74,58.32,2,2,2.5,8,8,8,1.41,0.83,-0.16,8797.88,8797.63,8888.55,4.55,5.03,6.36,102291000,100818500,99377110,,2.40,2.10,
"Moldova, Republic of",m2,2005,1,0,2,0,101,proportional,NA,101.00,,0,0,NA,,,7.00,3.258,3.260,2.287,2.287,9.53,38.50,,3.5,3.5,,,8,,7.28,6.29,,1612.64,1428.16,,12.53,11.75,,4217700,4237600,,,,
Netherlands,m1,1998,1,0,2,1,150,proportional,NA,150.00,1,0,0,1,73.2,70.1,39.00,5.116,5.136,4.814,4.814,2.46,71.92,1,1,1,10,10,10,4.35,3.84,3.04,27715.82,25989.00,25327.52,1.98,2.16,2.02,15698000,15607000,15517000,4.30,5.50,6.50,
Netherlands,m2,2002,1,0,2,1,150,proportional,NA,150.00,1,0,0,1,79.1,,45.00,6.023,6.024,5.793,5.793,1.00,36.71,1,1,1,10,10,10,0.24,1.22,3.47,29550.49,29326.62,28806.26,3.47,4.53,2.52,16144000,16039000,15919000,3.10,2.70,3.30,
New Zealand,m1,1996,1,0,2,1,120,mixed,1,25.80,1,0,0,NA,88.3,83,49.00,4.334,4.441,3.762,3.762,6.18,70.34,1,1,1,10,10,10,3.53,4.13,5.29,18831.42,18282.84,17881.88,2.30,3.74,2.40,3732000,3673400,3620100,6.10,6.30,8.10,
New Zealand,m2,2002,1,0,2,1,120,mixed,1,24.00,1,0,0,NA,77,72.5,56.80,4.096,4.136,3.758,3.758,4.15,26.46,1,1,1,10,10,10,4.41,3.28,2.66,20656.53,20055.55,19721.48,2.68,2.63,2.62,3939100,3880500,3857800,5.20,5.30,6.00,
Norway,m1,1997,1,0,2,0,169,proportional,NA,10.00,1,0,0,NA,78,76.9,93.50,5.048,5.080,4.361,4.361,3.96,16.81,1,1,1,10,10,10,5.19,5.25,4.36,32347.16,30951.77,29582.04,2.58,1.26,2.46,4404100,4381000,4360000,3.90,4.80,4.90,
Norway,m2,2001,1,0,2,0,169,proportional,NA,10.00,1,0,0,NA,75,73.1,95.00,6.149,6.189,5.352,5.352,4.07,77.10,1,1,1,10,10,10,2.73,2.84,2.13,34827.87,34164.46,33527.54,3.02,3.09,2.33,4513000,4491000,4460000,3.40,3.40,3.20,
Peru,m1,2000,1,1,0,0,120,proportional,NA,118.00,1,0,1,2,82,78.6,13.50,4.005,4.005,3.842,3.842,1.76,27.67,3,4.5,4.5,-88,1,1,2.92,0.89,-0.68,4732.76,4663.30,4679.21,3.76,3.47,7.25,25939000,25562750,25163120,7.40,8.00,7.80,
Peru,m1,2001,1,1,0,0,120,proportional,NA,4.80,1,0,1,2,81.4,78.6,6.00,7.222,7.265,4.374,4.374,10.04,46.91,2,3,4.5,9,-88,1,0.18,2.92,0.89,4641.37,4732.76,4663.30,1.98,3.76,3.47,26347000,25939000,25562750,7.90,7.40,8.00,
Philippines,m2,2004,1,1,0,1,236,majoritarian,1,1.00,1,0,1,1,,,23.50,,,,,,,2.5,2.5,2.5,,8,8,6.15,4.70,3.12,4218.02,4041.23,3962.63,5.98,3.45,3.00,82986910,81502620,79944220,,,,
Poland,m1,1997,1,0,1,1,460,proportional,NA,16.70,1,0,0,NA,47.9,48.8,7.00,4.339,4.543,2.953,2.953,9.75,64.94,1.5,1.5,1.5,9,9,9,6.80,6.00,7.00,9166.12,8586.56,8170.13,15.08,19.82,28.07,38650000,38618000,38587600,11.20,12.40,13.30,
Poland,m2,2001,1,0,1,1,460,proportional,NA,16.70,1,0,0,NA,46.2,47.6,9.50,4.498,4.498,3.596,3.596,6.33,9.30,1.5,1.5,1.5,9,9,9,1.02,3.95,4.10,10610.64,10411.37,9985.74,5.51,10.13,7.31,38251000,38648000,38658000,18.20,16.10,12.50,
Poland,m2,2005,1,1,1,1,460,proportional,NA,11.20,1,0,0,NA,,,9.75,5.811,5.881,4.261,4.261,7.57,76.59,,1,1.5,,,10,,5.30,3.75,,11921.40,11264.79,,3.52,0.72,,38160000,38196000,,,,
Portugal,m1,2002,1,0,1,0,230,proportional,NA,10.50,1,0,0,NA,62.8,,28.50,3.153,3.154,2.582,2.582,5.33,87.80,1,1,1,10,10,10,0.40,1.71,3.38,18398.29,18509.70,18275.46,3.55,4.39,2.85,10368000,10296000,10231000,5.10,4.10,3.90,
Portugal,m2,2002,1,0,1,0,230,proportional,NA,10.50,1,0,0,NA,62.8,,28.50,3.153,3.154,2.582,2.582,5.33,87.80,1,1,1,10,10,10,0.40,1.71,3.38,18398.29,18509.70,18275.46,3.55,4.39,2.85,10368000,10296000,10231000,5.10,4.10,3.90,
Romania,m1,1996,1,1,1,1,332,proportional,NA,7.80,1,0,0,NA,76,78.2,5.33,5.979,6.076,3.943,3.943,8.70,53.19,2.5,3.5,3.5,8,5,5,4.01,7.16,3.97,6669.85,6383.59,5927.71,38.83,32.24,136.76,22608000,22681000,22731000,6.70,8.00,8.20,
Romania,m2,2004,1,1,1,1,332,proportional,NA,7.80,1,0,0,NA,,,14.00,3.796,3.892,3.319,3.335,4.14,73.28,2.5,2,2,,8,8,8.30,4.90,4.30,7720.64,7175.72,6759.91,11.88,15.27,22.54,21857700,21744000,21803000,,,8.40,
Russia,m1,1999,1,0,0,1,450,mixed,0.5,113.00,1,1,0,NA,60.5,59.9,5.50,6.362,6.672,5.405,7.924,12.75,61.12,4.5,4,3.5,4,4,4,6.40,-5.30,1.40,6498.67,6109.48,6288.70,85.74,27.67,14.77,146309000,146899000,147304000,12.60,13.30,11.80,
Russia,m1,2000,0,1,0,1,450,mixed,0.5,113.00,1,1,0,NA,68.6,68.6,3.33,6.362,6.672,5.405,7.924,12.75,61.12,5,4.5,4,7,4,4,10.00,6.40,-5.30,7086.35,6498.67,6109.48,20.78,85.74,27.67,145555000,146309000,146899000,9.80,12.60,13.30,
Russia,m2,2004,0,1,0,1,450,mixed,0.5,113.00,1,1,0,NA,,,7.00,5.149,5.211,3.377,3.677,13.01,7.77,5.5,5,5,,7,7,7.21,7.35,4.68,9128.21,8533.61,7820.65,10.88,13.66,15.79,142814200,143425000,144070800,,,8.60,
Slovenia,m1,1996,1,0,1,1,90,proportional,NA,11.00,0,0,0,NA,73.7,75.7,5.33,6.240,6.315,5.518,5.525,3.94,54.53,1.5,1.5,1.5,10,10,10,3.53,4.11,5.33,14142.33,13633.69,13079.05,9.79,13.46,20.99,1991000,1990000,1988900,7.30,7.40,9.00,
Slovenia,m2,2004,1,0,1,1,90,proportional,NA,11.00,0,0,0,NA,,,14.00,5.915,5.974,4.891,4.891,5.58,62.14,1,1,1,,10,10,4.57,2.52,3.33,19251.18,18473.81,18017.70,3.58,5.58,7.48,1995000,1995000,1994000,,,5.90,
Spain,m1,1996,1,0,2,1,350,proportional,NA,6.90,1,1,0,NA,78.1,80.6,80.33,3.204,3.205,2.729,2.729,5.60,87.62,1.5,1.5,1.5,10,10,10,2.44,2.76,2.38,18756.29,18293.44,18066.14,3.56,4.67,4.72,39339520,39210000,39143000,22.00,22.70,23.90,
Spain,m1,2000,1,0,2,1,350,proportional,NA,6.90,1,1,0,NA,68.7,73.8,41.75,3.100,3.100,2.476,2.476,7.06,52.34,1.5,1.5,1.5,10,10,10,4.21,4.22,4.35,21571.36,20847.15,20201.49,3.43,2.31,1.83,40499790,40202000,39853000,13.90,15.60,18.60,
Spain,m2,2004,1,0,2,1,350,proportional,NA,6.90,1,1,0,NA,,,69.50,3.043,3.047,2.497,2.497,5.39,79.66,1,1,1,,10,10,3.10,2.43,2.04,23452.89,22850.07,22444.72,3.03,3.03,3.07,41286390,41101430,40917300,,,11.40,
Sweden,m1,1998,1,0,2,0,349,proportional,NA,11.60,1,0,0,NA,81.4,77.7,74.00,4.534,4.541,4.294,4.294,2.11,39.40,1,1,1,10,10,10,3.65,2.44,1.29,23989.54,23347.48,22876.96,-0.27,0.66,0.55,8851800,8849440,8843000,8.30,10.10,9.90,
Sweden,m2,2002,1,0,2,0,349,proportional,NA,11.60,1,0,0,NA,80.1,,47.25,4.511,4.511,4.225,4.225,1.64,14.63,1,1,1,10,10,10,2.10,0.92,4.33,26468.27,26125.97,25936.62,2.17,2.42,0.89,8924000,8894000,8869000,5.20,5.00,5.80,
Switzerland,m1,1999,1,0,2,1,200,proportional,NA,9.10,0,1,0,NA,43.2,34.9,95.75,5.449,5.871,5.081,5.152,5.08,85.97,1,1,1,10,10,10,1.31,2.79,1.91,29723.61,29709.87,29160.04,0.82,0.02,0.52,7140000,7110000,7088000,3.10,3.60,4.10,
Switzerland,m2,2003,1,0,2,1,200,proportional,NA,9.10,0,1,0,NA,45.4,,99.75,5.462,5.462,4.990,4.990,2.26,83.17,1,1,1,10,10,10,-0.40,0.16,1.03,30655.91,31019.92,31203.36,0.63,0.64,0.99,7350000,7290000,7231000,,2.90,2.50,
Taiwan,m1,1996,1,1,1,1,225,mixed,1,8.70,,0,0,NA,76.2,75.1,56.00,2.820,2.802,2.457,2.456,5.06,32.50,2,3,3,8,7,7,,,,,,,,,,,,,,,,
Taiwan,m2,2001,1,0,1,1,225,mixed,1,11.50,,0,0,NA,,,61.00,3.556,3.556,3.472,3.495,4.20,66.84,1.5,1.5,2,9,9,9,,,,,,,,,,,,,,,,
Taiwan,m2,2004,1,1,1,1,225,mixed,1,11.50,,0,0,NA,,,43.67,3.372,3.372,3.266,3.266,2.55,81.52,1.5,2,2,,9,9,,,,,,,,,,,,,,,,
Thailand,m1,2001,1,0,2,1,500,mixed,1,20.80,1,0,1,2,,,21.25,3.731,3.980,3.057,3.063,10.09,33.94,2.5,2.5,2.5,9,9,9,2.17,4.75,4.45,6445.86,6350.32,6184.06,1.64,1.57,0.30,61183900,60728000,60245800,2.60,2.40,3.00,
Thailand,m2,2005,1,0,2,1,500,mixed,1,20.80,1,0,1,2,,,23.75,2.655,2.665,1.645,1.645,16.67,1.90,,2.5,2.5,,,9,,6.05,6.87,,7569.54,7174.83,,2.77,1.80,,62387450,62014220,,,,
Turkey,m2,2002,1,0,2,0,550,proportional,NA,7.00,1,0,0,NA,76.9,,17.75,5.253,5.450,1.850,1.851,27.37,27.73,3.5,4.5,4.5,7,7,7,7.94,-7.49,7.36,6413.54,6046.90,6519.50,44.96,54.40,54.92,69626000,68529000,67420000,10.60,8.50,6.60,
Ukraine,m1,1998,1,0,1,0,450,mixed,0.5,113.00,1,0,0,NA,70.6,68.1,5.40,6.220,10.679,5.761,10.058,2.44,15.56,3.5,3.5,3.5,7,7,7,-1.94,-2.99,-10.04,3786.67,3803.30,3888.47,10.58,15.94,80.33,50303000,50697000,51114000,11.30,8.90,7.60,
United Kingdom,m1,1997,1,0,2,0,646,majoritarian,NA,1.00,NA,0,0,NA,71.5,69.4,112.00,3.222,3.222,2.126,2.126,16.54,28.05,1.5,1.5,1.5,10,10,10,3.29,2.69,2.84,24541.43,23893.09,23350.42,3.13,2.45,3.41,58469580,58354430,58250000,7.10,8.20,8.60,
United Kingdom,m2,2005,1,0,2,0,646,majoritarian,NA,1.00,NA,0,0,NA,,,120.00,3.585,3.585,2.448,2.448,16.77,50.89,,1,1,,,10,,3.10,2.22,,28545.04,27722.21,,2.96,2.91,,59405000,59329000,,,,
United States,m1,1996,1,1,0,1,435,majoritarian,NA,1.00,NA,1,0,NA,66,49.1,145.00,2.174,2.175,2.004,2.004,3.31,109.99,1,1,1,10,10,10,3.75,2.54,4.06,30908.45,30182.58,30020.46,2.93,2.81,2.61,269394000,266278000,263126000,5.40,5.60,6.10,
United States,m2,2004,1,1,0,1,435,majoritarian,NA,1.00,NA,1,0,NA,,,152.50,2.175,2.177,2.015,2.015,3.27,82.47,1,1,1,,10,10,4.40,3.10,2.21,36665.48,35354.75,34430.48,2.68,2.27,1.59,293507400,290810000,288369000,,,5.80,
